Movimiento,X,Y
Right,250.0,240.0
Right,260.0,240.0
Right,270.0,240.0
Right,280.0,240.0
Right,290.0,240.0
Right,300.0,240.0
Right,310.0,240.0
Right,320.0,240.0
Right,330.0,240.0
Right,340.0,240.0
Up,340.0,230.0
Up,340.0,220.0
Up,340.0,210.0
Up,340.0,200.0
Up,340.0,190.0
Up,340.0,180.0
Up,340.0,170.0
Up,340.0,160.0
Up,340.0,150.0
Up,340.0,140.0
Up,340.0,130.0
Up,340.0,120.0
Up,340.0,110.0
Up,340.0,100.0
Up,340.0,90.0
Up,340.0,80.0
Left,330.0,80.0
Left,320.0,80.0
Left,310.0,80.0
Left,300.0,80.0
Left,290.0,80.0
Left,280.0,80.0
Left,270.0,80.0
Left,260.0,80.0
Left,250.0,80.0
Left,240.0,80.0
Left,230.0,80.0
Left,220.0,80.0
Left,210.0,80.0
Left,200.0,80.0
Left,190.0,80.0
Left,180.0,80.0
Left,170.0,80.0
Left,160.0,80.0
Left,150.0,80.0
Left,140.0,80.0
Left,130.0,80.0
Left,120.0,80.0
Left,110.0,80.0
Left,100.0,80.0
Left,90.0,80.0
Left,80.0,80.0
Left,70.0,80.0
Left,60.0,80.0
Left,50.0,80.0
Left,40.0,80.0
Left,30.0,80.0
Left,20.0,80.0
Left,10.0,80.0
Down,10.0,90.0
Down,10.0,100.0
Down,10.0,110.0
Down,10.0,120.0
Down,10.0,130.0
Down,10.0,140.0
Down,10.0,150.0
Down,10.0,160.0
Down,10.0,170.0
Down,10.0,180.0
Down,10.0,190.0
Down,10.0,200.0
Down,10.0,210.0
Down,10.0,220.0
Down,10.0,230.0
Down,10.0,240.0
Down,10.0,250.0
Down,10.0,260.0
Down,10.0,270.0
Down,10.0,280.0
Down,10.0,290.0
Down,10.0,300.0
Down,10.0,310.0
Down,10.0,320.0
Down,10.0,330.0
Down,10.0,340.0
Down,10.0,350.0
Down,10.0,360.0
Down,10.0,370.0
Down,10.0,380.0
Down,10.0,390.0
Down,10.0,400.0
Down,10.0,410.0
Down,10.0,420.0
Down,10.0,430.0
Down,10.0,440.0
Down,10.0,450.0
Right,20.0,450.0
Right,30.0,450.0
Right,40.0,450.0
Right,50.0,450.0
Right,60.0,450.0
Right,70.0,450.0
Right,80.0,450.0
Right,90.0,450.0
Right,100.0,450.0
Right,110.0,450.0
Right,120.0,450.0
Right,130.0,450.0
Right,140.0,450.0
Right,150.0,450.0
Right,160.0,450.0
Right,170.0,450.0
Right,180.0,450.0
Right,190.0,450.0
Right,200.0,450.0
Right,210.0,450.0
Right,220.0,450.0
Right,230.0,450.0
Right,240.0,450.0
Right,250.0,450.0
Right,260.0,450.0
Right,270.0,450.0
Right,280.0,450.0
Right,290.0,450.0
Right,300.0,450.0
Right,310.0,450.0
Right,320.0,450.0
Right,330.0,450.0
Right,340.0,450.0
Right,350.0,450.0
Right,360.0,450.0
Right,370.0,450.0
Right,380.0,450.0
Up,380.0,440.0
Up,380.0,430.0
Up,380.0,420.0
Up,380.0,410.0
Up,380.0,400.0
Up,380.0,390.0
Up,380.0,380.0
Up,380.0,370.0
Up,380.0,360.0
Up,380.0,350.0
Up,380.0,340.0
Up,380.0,330.0
Up,380.0,320.0
Up,380.0,310.0
Up,380.0,300.0
Up,380.0,290.0
Up,380.0,280.0
Up,380.0,270.0
Up,380.0,260.0
Up,380.0,250.0
Up,380.0,240.0
Up,380.0,230.0
Up,380.0,220.0
Up,380.0,210.0
